movieId,tmdbId,title,genres,genre_names,keyword_names,cast_names,crew_names,overview,vote_average,vote_count,popularity,text_chunk,text_chunk_clean
1,862.0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"['Animation', 'Comedy', 'Family']","['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boy next door', 'new toy', 'toy comes to life']","['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn']",['John Lasseter'],"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",7.7,5269,73.640445,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences. Animation Comedy Family jealousy toy boy friendship friends rivalry boy next door new toy toy comes to life Tom Hanks Tim Allen Don Rickles Jim Varney Wallace Shawn John Lasseter",led woodi andi toy live happili room andi birthday bring buzz lightyear onto scene afraid lose place andi heart woodi plot buzz circumst separ buzz woodi owner duo eventu learn put asid differ anim comedi famili jealousi toy boy friendship friend rivalri boy next door new toy toy come life tom hank tim allen rickl jim varney wallac shawn john lasset
10,710.0,GoldenEye (1995),Action|Adventure|Thriller,"['Adventure', 'Action', 'Thriller']","['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg russia', 'ejection seat', 'red army']","['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen', 'Joe Don Baker']",['Martin Campbell'],James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,6.6,1174,59.824565,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain. Adventure Action Thriller cuba falsely accused secret identity computer virus secret base secret intelligence service kgb satellite special car cossack electromagnetic pulse time bomb st. petersburg russia ejection seat red army Pierce Brosnan Sean Bean Izabella Scorupco Famke Janssen Joe Don Baker Martin Campbell,jame bond must unmask mysteri head janu syndic prevent leader util goldeney weapon system inflict devast reveng britain adventur action thriller cuba fals accus secret ident comput viru secret base secret intellig servic kgb satellit special car cossack electromagnet puls time bomb st petersburg russia eject seat red armi pierc brosnan sean bean izabella scorupco famk janssen joe baker martin campbel
11,9087.0,"American President, The (1995)",Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']","['white house', 'usa president', 'new love', 'widower', 'wildlife conservation']","['Michael Douglas', 'Annette Bening', 'Michael J. Fox', 'Martin Sheen', 'Anna Deavere Smith']",['Rob Reiner'],"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",6.5,195,11.056763,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings. Comedy Drama Romance white house usa president new love widower wildlife conservation Michael Douglas Annette Bening Michael J. Fox Martin Sheen Anna Deavere Smith Rob Reiner",widow u presid andrew shepherd one world power men anyth want covet sydney ellen wade washington lobbyist shepherd attempt court spark wild rumor decim approv rate comedi drama romanc white hous usa presid new love widow wildlif conserv michael dougla annett bene michael j fox martin sheen anna deaver smith rob reiner
14,10858.0,Nixon (1995),Drama,"['History', 'Drama']","['usa president', 'presidential election', 'watergate scandal', 'biography', 'government', 'historical figure']","['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris', 'Bob Hoskins']",['Oliver Stone'],"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",7.1,71,3.770161,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency. History Drama usa president presidential election watergate scandal biography government historical figure Anthony Hopkins Joan Allen Powers Boothe Ed Harris Bob Hoskins Oliver Stone",star cast power epic look american presid richard nixon man carri fate world shoulder battl self destruct demand within span troubl boyhood california shock waterg scandal would end presid histori drama usa presid presidenti elect waterg scandal biographi govern histor figur anthoni hopkin joan allen power booth ed harri bob hoskin oliv stone
15,1408.0,Cutthroat Island (1995),Action|Adventure|Romance,"['Action', 'Adventure']","['exotic island', 'treasure', 'map', 'ship', 'scalp', 'pirate']","['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide']",['Renny Harlin'],"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",5.7,136,7.029308,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids. Action Adventure exotic island treasure map ship scalp pirate Geena Davis Matthew Modine Frank Langella Maury Chaykin Patrick Malahide Renny Harlin",morgan adam slave william shaw quest recov three portion treasur map unfortun final portion held murder uncl dawg crew skeptic leadership abil must complet quest mutini made yet difficult effort british crown end pirat raid action adventur exot island treasur map ship scalp pirat geena davi matthew modin frank langella mauri chaykin patrick malahid renni harlin
16,524.0,Casino (1995),Crime|Drama,"['Drama', 'Crime']","['poker', 'drug abuse', '1970s', 'overdose', 'illegal prostitution']","['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles']",['Martin Scorsese'],The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,7.8,1307,40.06688,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly. Drama Crime poker drug abuse 1970s overdose illegal prostitution Robert De Niro Sharon Stone Joe Pesci James Woods Don Rickles Martin Scorsese,life gambl paradis la vega dark mafia underbelli drama crime poker drug abus overdos illeg prostitut robert de niro sharon stone joe pesci jame wood rickl martin scorses
17,4584.0,Sense and Sensibility (1995),Drama|Romance,"['Drama', 'Romance']","['bowling', 'based on novel', 'servant', 'country life', 'jane austen', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'horse and carriage', 'decorum']","['Kate Winslet', 'Emma Thompson', 'Hugh Grant', 'Tom Wilkinson', 'Alan Rickman']",['Ang Lee'],"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",7.2,352,20.898711,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites. Drama Romance bowling based on novel servant country life jane austen inheritance military officer period drama rainstorm horse and carriage decorum Kate Winslet Emma Thompson Hugh Grant Tom Wilkinson Alan Rickman Ang Lee",rich mr dashwood die leav second wife daughter poor rule inherit two daughter titular opposit drama romanc bowl base novel servant countri life jane austen inherit militari offic period drama rainstorm hors carriag decorum kate winslet emma thompson hugh grant tom wilkinson alan rickman ang lee
18,5.0,Four Rooms (1995),Comedy,"['Crime', 'Comedy']","['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director', 'episode film']","['Tim Roth', 'Antonio Banderas', 'Jennifer Beals', 'Madonna', 'Marisa Tomei']","['Allison Anders', 'Alexandre Rockwell', 'Robert Rodriguez', 'Quentin Tarantino']",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,6.5,530,22.87623,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another. Crime Comedy hotel new year's eve witch bet hotel room sperm los angeles hoodlum woman director episode film Tim Roth Antonio Banderas Jennifer Beals Madonna Marisa Tomei Allison Anders Alexandre Rockwell Robert Rodriguez Quentin Tarantino,ted bellhop first night job hotel unusu guest place outrag predica seem even room servic serv one unbeliev happen anoth crime comedi hotel new year eve witch bet hotel room sperm lo angel hoodlum woman director episod film tim roth antonio bandera jennif beal madonna marisa tomei allison ander alexandr rockwel robert rodriguez quentin tarantino
19,9273.0,Ace Ventura: When Nature Calls (1995),Comedy,"['Crime', 'Comedy', 'Adventure']","['africa', 'indigenous', 'human animal relationship', 'bat']","['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi', 'Bob Gunton']",['Steve Oedekerk'],"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",6.1,1099,34.391792,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war. Crime Comedy Adventure africa indigenous human animal relationship bat Jim Carrey Ian McNeice Simon Callow Maynard Eziashi Bob Gunton Steve Oedekerk",summon ashram tibet ace find peril journey jungl africa find shikaka miss sacr anim friendli wachati tribe must accomplish wed wachati princess princ warrior wachootoo ace fail result viciou tribal war crime comedi adventur africa indigen human anim relationship bat jim carrey ian mcneic simon callow maynard eziashi bob gunton steve oedekerk
20,11517.0,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"['Action', 'Comedy', 'Crime']","['brother brother relationship', 'subway', 'new york city', 'new york subway', 'train robbery']","['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake', 'Chris Cooper']",['Joseph Ruben'],"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",5.4,222,10.004564,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him. Action Comedy Crime brother brother relationship subway new york city new york subway train robbery Wesley Snipes Woody Harrelson Jennifer Lopez Robert Blake Chris Cooper Joseph Ruben",veng new york transit cop decid steal trainload subway fare foster brother fellow cop tri protect action comedi crime brother brother relationship subway new york citi new york subway train robberi wesley snipe woodi harrelson jennif lopez robert blake chri cooper joseph ruben
